"_id","fullName","email","phone","role","avatar","isActive","type","createdAt","updatedAt","__v"
"68a5414331be9284a700f9d7","I'm Admin","admin@gmail.com","123456789","ADMIN","21232f297a57a5a743894a0e4a801fc3.png","true","SYSTEM","2025-08-20T03:29:40.435Z","2025-08-20T03:29:40.435Z","0"
"68a5414331be9284a700f9d8","Guest - Hỏi Dân IT","guest@gmail.com","123456789","ADMIN","21232f297a57a5a743894a0e4a801fc3.png","true","SYSTEM","2025-08-20T03:29:40.435Z","2025-08-20T03:29:40.435Z","0"
"68a5414331be9284a700f9d9","I'm User","user@gmail.com","123456789","USER","ee11cbb19052e40b07aac0ca060c23ee.png","true","SYSTEM","2025-08-20T03:29:40.435Z","2025-08-20T03:29:40.435Z","0"
"68c8ccf397878b7267987f18","dinh","dinh@gmail.com","0356413131","USER","c21f969b5f03d33d43e04f8f136e7682.png","true","SYSTEM","2025-09-16T02:33:35.942Z","2025-09-16T02:33:35.942Z","0"
"68c8d1f397878b7267987f1b","abc","asdfasfasfd@gamil.com","123456","USER","c21f969b5f03d33d43e04f8f136e7682.png","true","SYSTEM","2025-09-16T02:33:35.942Z","2025-09-16T02:33:35.942Z","0"
"68ccc16c0cf113345fa264f0","Ngô Văn","dinh123@gmail.com","033565604","USER","c21f969b5f03d33d43e04f8f136e7682.png","true","SYSTEM","2025-09-19T02:33:50.147Z","2025-09-19T02:33:50.147Z","0"
"68d2260d8b1c98a01a4669d5","Ngô Đức Định","dinh12@gmail.com","0332656413","USER","c21f969b5f03d33d43e04f8f136e7682.png","true","SYSTEM","2025-09-23T04:46:05.769Z","2025-09-23T04:46:05.769Z","0"
"68d2442a077474adbf568f12","Demo","dinh1234@gmail.com","036651215","USER","c21f969b5f03d33d43e04f8f136e7682.png","true","SYSTEM","2025-09-23T06:54:34.265Z","2025-09-23T06:54:34.265Z","0"
"68d35c76234d1b64ff6b2c99","xyz","aaaaabcxyz@gmail.com","123456789","USER","c21f969b5f03d33d43e04f8f136e7682.png","","SYSTEM","2025-09-24T02:50:30.696Z","2025-09-24T02:50:30.696Z","0"
"68d35c76234d1b64ff6b2c9a","xyz","aaaa1abcxyz@gmail.com","123456789","USER","c21f969b5f03d33d43e04f8f136e7682.png","","SYSTEM","2025-09-24T02:50:30.801Z","2025-09-24T02:50:30.801Z","0"
"68d35c76234d1b64ff6b2c9b","xyz","aaabcxyz@gmail.com","123456789","USER","c21f969b5f03d33d43e04f8f136e7682.png","","SYSTEM","2025-09-24T02:50:30.919Z","2025-09-24T02:50:30.919Z","0"
"68d365a5234d1b64ff6b2caf","dinh1","dinh17@gmail.com","033689441","USER","c21f969b5f03d33d43e04f8f136e7682.png","","SYSTEM","2025-09-24T03:29:41.308Z","2025-09-24T03:29:41.308Z","0"
"68d365a5234d1b64ff6b2cb0","dinh2","dinh18@gmail.com","033689442","USER","c21f969b5f03d33d43e04f8f136e7682.png","","SYSTEM","2025-09-24T03:29:41.392Z","2025-09-24T03:29:41.392Z","0"
"68d365a5234d1b64ff6b2cb1","dinh3","dinh19@gmail.com","033689443","USER","c21f969b5f03d33d43e04f8f136e7682.png","","SYSTEM","2025-09-24T03:29:41.471Z","2025-09-24T03:29:41.471Z","0"
